group,var_name,l2_norm,max_abs,nnz
4,IREDUHIGHST2,0.9975502606683834,0.684581695030091,11
8,IRPYUD5ALC,0.8608328459164973,0.6087007428156697,2
0,CATAG6,0.8501406089782387,0.5476280701212244,6
10,ILLYR,0.6068961215189285,0.42914036300185404,2
9,IRPYUD5MRJ,0.5176259138836798,0.36601679382504343,2
2,NEWRACE2,0.509476370420009,0.30189595697662674,7
3,IRMARIT,0.47700617940776197,0.40394065453958683,4
7,INCOME,0.336671794052984,0.25343419288152,4
5,IRWRKSTAT18,0.3291155856116779,0.23177594081575098,4
11,RSKCIGPKD,0.2855343006998238,0.21652771401717966,4
6,IRINSUR4,0.24044869779973466,0.1700229047416701,2
15,KSSLR6YR,0.17374349077671547,0.17374349077671547,1
12,RSKMRJWK,0.15953174122228267,0.12087033276771354,4
13,IRALCFY,0.15689911733442807,0.15689911733442807,1
14,IRMJFY,0.13332630652391253,0.13332630652391253,1
1,IRSEX,0.03061859496569214,0.021650616130645197,2
